zinc_id,smiles,mwt,logp,heavy_atoms,n_rings,heteroatoms,tpsa,hacceptors,hdonors,rotatable_bonds
ZINC000000000024,O[C@@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@H]1O)[C@H]23)OCO5,287.3150000000001,0.7485999999999999,21,6,5,62.16000000000001,5,2,0
ZINC000000000025,CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,452.49400000000026,2.366800000000001,32,9,8,93.06,6,2,2
ZINC000000000026,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,452.49400000000026,2.366800000000001,32,9,8,93.06,6,2,2
ZINC000000000027,N[C@@H](CCc1ccc(N(CCCl)CCCl)cc1)C(=O)O,319.232,2.3151,20,1,6,66.56,3,2,9
ZINC000000000028,Nc1ccc2c(c1)C(=O)N[C@H](CCCl)O2,226.663,1.346,15,2,5,64.35000000000001,3,2,2
ZINC000000000030,C[C@@H](CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C,296.4140000000001,2.7982000000000014,22,2,3,46.330000000000005,2,1,6
ZINC000000000031,Cc1c(NC(=O)[C@H](C)N(C)C)c(=O)n(-c2ccccc2)n1C,302.37800000000004,1.3730199999999997,22,2,6,59.27,5,1,4
ZINC000000000034,CC[C@@H](C)NC[C@@H](O)c1ccc(N)cc1,208.305,1.6903,15,1,3,58.28,3,3,5
ZINC000000000035,CC(C)CCO[C@H](CN1CCCC1)c1ccccc1,261.40899999999993,3.886200000000003,19,3,2,12.47,2,0,7
ZINC000000000036,O=C(O)[C@@H](O)c1ccccc1,152.149,0.8046,11,1,3,57.53,2,2,2
ZINC000000000038,CC[C@](C)(CN(C)C)OC(=O)c1ccccc1,235.327,2.5737000000000005,17,1,3,29.54,3,0,5
ZINC000000000039,CC(C)(C)NC[C@@H](O)COc1ccccc1NC(=O)c1ccco1,332.4000000000001,2.659700000000001,24,2,6,83.73,5,3,7
ZINC000000000040,C[C@]12Cc3conc3C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,329.4840000000001,4.3830000000000044,24,8,3,46.260000000000005,3,1,0
ZINC000000000042,COc1ccc2c(c1)C[C@@H](C)N(CCc1ccc(N)cc1)CC2,310.4410000000001,3.309200000000001,23,3,3,38.49,3,1,4
ZINC000000000043,COc1ccc(C(=O)c2ccc3n2CC[C@@H]3C(=O)O)cc1,285.299,2.2996,21,3,5,68.53,4,1,4
ZINC000000000044,C1=CN2C[C@@H](c3ccccc3)N=C2S1,202.282,2.617300000000001,14,3,3,15.6,3,0,1
ZINC000000000045,Cc1ccc(SC[C@H](S)CS)cc1,230.42300000000003,3.3153200000000016,13,1,3,0.0,3,2,4
ZINC000000000048,C=CCc1cc(OC)c2c(c1OC)OCO2,222.23999999999992,2.161,16,2,4,36.92,4,0,4
